FECHA_CORTE,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_EMPRESA,TIPO_SERVICIO,FABRICANTE,MODELO_AERONAVE,NRO_COLA,TIPO _TREN_ATERRIZAJE,NRO_PARTE,FECHA_INICIO,FECHA_FIN,PERIODO_ATENCION,INGRESOS $
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 757,,NOSE LANDING GEAR,162N1101-26,21/09/23,30/09/23,9,""14,580.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 757,,MAIN LANDING GEAR L/H,161N1201-27,21/09/23,30/09/23,9,""19,710.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 757,,MAIN LANDING GEAR R/H,161N1201-28,21/09/23,30/09/23,9,""19,710.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-67,08/09/23,30/09/23,22,""11,220.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-39,08/09/23,30/09/23,22,""11,220.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR R/H,161A1100-68,08/09/23,30/09/23,22,""11,220.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR R/H,161A1100-40,08/09/23,30/09/23,22,""11,220.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 767,,NOSE LANDING GEAR,162T1136-065,11/09/23,30/09/23,19,""27,930.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 767,,MAIN LANDING GEAR L/H,015T1504-49,11/09/23,30/09/23,19,""28,050.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 767,,MAIN LANDING GEAR R/H,015T1504-50,11/09/23,30/09/23,19,""28,050.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 767,,NOSE LANDING GEAR,162T1136-071,11/09/23,30/09/23,19,""27,930.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,LH WING GEAR,161U1500-191,04/08/23,30/09/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,RH WING GEAR,161U1500-192,04/08/23,30/09/23,57,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-67,04/07/23,30/09/23,88,""1,740.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR R/H,161A1100-68,04/07/23,30/09/23,88,""1,740.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-39,14/07/23,30/09/23,78,""1,740.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR R/H,161A1100-40,14/07/23,30/09/23,78,""1,740.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-67,15/07/23,30/09/23,77,""1,740.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR R/H,161A1100-68,16/07/23,30/09/23,76,""1,740.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-67,11/08/23,30/09/23,50,""1,740.00"""
